position,industry
Workshop Supervisor / CNC Operator / Machinist,Fabrication Yards & Heavy Industry
Mechanical Fitter / Millwright,Fabrication Yards & Heavy Industry
Quality Inspector / QA Technician,Fabrication Yards & Heavy Industry
Supply Chain Manager / Materials Specialist,Fabrication Yards & Heavy Industry
HSE Coordinator / Safety Officer,Fabrication Yards & Heavy Industry
Coatings Engineer / Corrosion Specialist / Materials Engineer,Industrial Coatings & Corrosion Protection
Industrial Painter / Coatings Applicator,Industrial Coatings & Corrosion Protection
Blaster / Sandblaster / Surface Preparation Technician,Industrial Coatings & Corrosion Protection
Painting Supervisor / QA Technician,Industrial Coatings & Corrosion Protection
NDT Inspector / Non-Destructive Testing Technician,Industrial Coatings & Corrosion Protection
Safety Officer / HSE Advisor,Industrial Coatings & Corrosion Protection
Civil Engineer / Infrastructure Design Engineer,Infrastructure & Energy Services
Environmental Engineer / ESG Specialist,Infrastructure & Energy Services
Construction Supervisor / Facilities Manager,Infrastructure & Energy Services
Maintenance Technician / Site Services Coordinator,Infrastructure & Energy Services
Project Controls Specialist / Scheduler / Cost Controller,Infrastructure & Energy Services
Procurement Manager / Supply Chain Specialist,Infrastructure & Energy Services
HSE Advisor / Compliance Officer,Infrastructure & Energy Services
