company,website,focus,region,keywords
Leap29,https://www.leap29.com/,Energy Recruitment,Europe / Global,oil & gas; renewables; EPC staffing
Airswift Oil & Gas,https://www.airswift.com/our-industries/energy/oil-gas,Oil & Gas Recruitment & Staffing,Europe / UAE / Global,oil & gas staffing; maintenance; shutdowns
NES Oil & Gas,https://www.nesfircroft.com/industries/upstream-oil-gas-recruitment/,Oil & Gas Recruitment,Europe / Global,upstream; downstream; LNG staffing
WTS Energy Oil & Gas,https://www.wtsenergy.com/recruitment-and-manpower-services/oil-and-gas/,Oil & Gas Recruitment & Manpower,Europe / Global,oil & gas; manpower services
NES EPC,https://www.nesfircroft.com/industries/engineering/,Engineering & EPC Recruitment,Europe / Global,EPC; engineering staffing; commissioning
Pertemps,https://www.pertemps.co.uk/,Staffing (incl. industrial/engineering),Europe (UK),industrial staffing; engineering recruitment
Search Consultancy,https://www.search.co.uk/,Recruitment (incl. construction/engineering),Europe (UK),construction recruitment; engineering staffing
NES Construction,https://www.nesfircroft.com/industries/,Construction & Project Staffing,Europe / Global,construction staffing; EPC
Holt Engineering Recruitment,https://www.holtengineering.com/,Engineering Recruitment,Europe (UK),engineering recruitment; fabrication
Forward Construction Agency,https://www.forwardconstructionagency.com/,Construction Recruitment,Europe (UK),construction recruitment; labour supply
Optima Site Solutions,https://www.optimasitesolutions.com/,Construction & M&E Labour Supply,Europe (UK),construction labour; M&E; manpower
VGC Group,https://vgcgroup.co.uk/,Construction & Infrastructure Recruitment,Europe (UK),infrastructure staffing; construction recruitment
Ganymede Solutions,https://www.ganymedesolutions.co.uk/,Infrastructure & Engineering recruitment,Europe (UK),infrastructure; engineering recruitment
Bilfinger,https://www.bilfinger.com/en/,Industrial services (maintenance/insulation/coatings),Europe,industrial services; maintenance; coatings; energy
Altrad,https://www.altrad.com/,Industrial services (incl. energy),Europe,industrial services; maintenance; oil & gas; power
KAEFER,https://www.kaefer.com/,"Industrial insulation, access, surface protection",Europe / Global,industrial services; surface protection; PFP
BrandSafway,https://www.brandsafway.com/,Industrial services (access/insulation/coatings),Europe / Global,industrial services; coatings; oil & gas; offshore
Wood,https://www.woodplc.com/,Engineering & project services (energy),Europe / Global,engineering; EPCm; oil & gas; renewables
Worley,https://www.worley.com/,Energy EPC & services,Europe / Global,EPC; energy transition; oil & gas
Fluor,https://www.fluor.com/,EPC contractor (energy/industry),Europe / Global,EPC; construction; energy
Technip Energies,https://www.technipenergies.com/,EPC (energy transition/LNG),Europe / Global,EPC; LNG; hydrogen
Saipem,https://www.saipem.com/,EPC (offshore/energy),Europe / Global,offshore EPC; marine construction
Subsea 7,https://www.subsea7.com/,Subsea EPC / Offshore construction,Europe / Global,subsea construction; offshore wind
DEME,https://www.deme-group.com/,Offshore energy / dredging,Europe,offshore wind; marine construction
Van Oord,https://www.vanoord.com/,Marine contractor / offshore wind,Europe,offshore wind; marine construction
Boskalis,https://www.boskalis.com/,Marine contractor / offshore energy,Europe,marine construction; offshore energy
Heerema Marine Contractors,https://heerema.com/,Offshore installation contractor,Europe,offshore installation; heavy lift
Sapura Energy Services (global contractor),https://www.sapenergy.com/,Offshore services (EPC/Marine),Europe / Global,offshore services; marine
Babcock International,https://www.babcockinternational.com/,Engineering services (energy/defence),Europe (UK),engineering services; infrastructure
Balfour Beatty,https://www.balfourbeatty.com/,Infrastructure & power projects,Europe (UK),infrastructure; power; construction
STRABAG,https://www.strabag.com/,Construction & infrastructure services,Europe,infrastructure; construction
Skanska,https://www.skanska.com/,Construction & infrastructure,Europe,infrastructure; construction
Ferrovial,https://www.ferrovial.com/,Infrastructure & services,Europe,infrastructure; energy services
VINCI Energies,https://www.vinci-energies.com/,Energy & ICT services,Europe,energy services; utilities
SPIE,https://www.spie.com/,Multi-technical services (energy),Europe,energy services; maintenance; utilities
Dalkia,https://www.dalkia.com/,Energy services,Europe,energy services; utilities
Engie Solutions,https://www.engie-solutions.com/,Energy & facilities services,Europe,energy services; maintenance
CBRE Global Workplace Solutions,https://www.cbre.com/services/global-workplace-solutions,Energy/industrial FM services,Europe / Global,industrial services; maintenance
ISS Facility Services,https://www.issworld.com/,Facility & industrial services,Europe / Global,industrial services; utilities
Sodexo (technical services),https://www.sodexo.com/,Facilities & services,Europe / Global,facility services; energy management
Aldwych International,https://www.aldwychint.com/,Engineering & Energy Recruitment,Europe (UK),engineering recruitment; energy; EPC
Aegis Engineering Recruitment,https://www.aegisrecruitment.co.uk/,Engineering Recruitment,Europe (UK),engineering recruitment; manufacturing; industrial
Blueprint Recruitment,https://www.blueprintrecruit.com/,Engineering Recruitment,Europe (UK),engineering recruitment; construction; infrastructure
Carrington West,https://www.carringtonwest.com/,Infrastructure & Built Environment Recruitment,Europe (UK),infrastructure recruitment; rail; highways
Navitas,https://navitasrecruitment.com/,Engineering Recruitment,Europe (UK),engineering recruitment; technical staffing
Mackinnon Bruce International,https://mackinnonbruce.com/,Industrial & Energy Executive Search,Europe,energy; industrial; executive search
Samuel Knight International,https://www.samuelknight.com/,Renewables & Rail Recruitment,Europe,renewables recruitment; offshore wind; grid
PWE Recruitment Group,https://pwe-recruitment.com/,Renewables & Offshore Recruitment,Europe (NL),offshore wind recruitment; marine; renewables
Aldwych,https://www.aldwychint.com/,Engineering & Energy Recruitment,Europe (UK),energy; engineering recruitment
G2 Recruitment,https://www.g2recruitment.com/,Engineering Recruitment,Europe,engineering recruitment; contractors
NES Offshore Wind,https://www.nesfircroft.com/industries/renewable-energy-recruitment/,Offshore wind recruitment,Europe / Global,offshore wind staffing; renewables
Amoria Bond,https://www.amoriabond.com/,Engineering & Technology Recruitment,Europe,engineering staffing; contractors
VHR Global Technical Recruitment,https://www.v-hr.com/,Engineering Recruitment,Europe / Global,engineering contractors
Engineering Talent,https://engineeringtalent.co.uk/,Engineering Recruitment,Europe (UK),engineering recruitment
